Date,Sales
2023-01-01,1334
2023-01-02,2355
2023-01-03,4789
2023-01-04,3638
2023-01-05,3226
2023-01-06,1227
2023-01-07,1794
2023-01-08,3711
2023-01-09,2130
2023-01-10,3302
2023-01-11,2105
2023-01-12,3060
2023-01-13,1030
2023-01-14,1478
2023-01-15,4391
2023-01-16,4128
2023-01-17,3177
2023-01-18,3696
2023-01-19,1267
2023-01-20,1325
2023-01-21,3410
2023-01-22,3946
2023-01-23,1035
2023-01-24,3590
2023-01-25,1886
2023-01-26,3282
2023-01-27,1836
2023-01-28,4841
2023-01-29,4232
2023-01-30,4169
2023-01-31,4047
2023-02-01,1473
2023-02-02,1124
2023-02-03,3149
2023-02-04,3651
2023-02-05,1722
2023-02-06,4645
2023-02-07,1246
2023-02-08,4351
2023-02-09,3627
2023-02-10,4916
2023-02-11,2610
2023-02-12,4128
2023-02-13,4155
2023-02-14,4980
2023-02-15,1910
2023-02-16,4012
2023-02-17,4300
2023-02-18,3761
2023-02-19,1490
2023-02-20,1060
2023-02-21,3163
2023-02-22,1926
2023-02-23,4501
2023-02-24,4852
2023-02-25,3938
2023-02-26,4172
2023-02-27,3060
2023-02-28,3485
2023-03-01,2104
2023-03-02,2831
2023-03-03,3107
2023-03-04,2505
2023-03-05,1991
2023-03-06,1155
2023-03-07,1458
2023-03-08,3194
2023-03-09,3920
2023-03-10,3899
2023-03-11,3877
2023-03-12,1000
2023-03-13,1018
2023-03-14,1365
2023-03-15,4341
2023-03-16,1931
2023-03-17,4548
2023-03-18,3170
2023-03-19,4928
2023-03-20,4661
2023-03-21,3033
2023-03-22,4912
2023-03-23,4779
2023-03-24,2602
2023-03-25,1315
2023-03-26,2120
2023-03-27,2121
2023-03-28,1807
2023-03-29,2280
2023-03-30,4963
2023-03-31,3037
2023-04-01,3275
2023-04-02,1622
2023-04-03,4333
2023-04-04,2441
2023-04-05,1084
2023-04-06,1643
2023-04-07,2665
2023-04-08,1189
2023-04-09,3121
2023-04-10,2313
2023-04-11,1959
2023-04-12,1298
2023-04-13,3431
2023-04-14,4370
2023-04-15,1263
2023-04-16,2567
2023-04-17,2313
2023-04-18,2382
2023-04-19,4471
2023-04-20,2580
2023-04-21,4639
2023-04-22,1077
2023-04-23,4164
2023-04-24,2790
2023-04-25,3984
2023-04-26,1665
2023-04-27,3936
2023-04-28,1326
2023-04-29,1282
2023-04-30,3622
2023-05-01,4922
2023-05-02,4290
2023-05-03,1684
2023-05-04,4877
2023-05-05,3205
2023-05-06,1569
2023-05-07,1920
2023-05-08,3768
2023-05-09,3718
2023-05-10,1381
2023-05-11,2882
2023-05-12,1855
2023-05-13,3145
2023-05-14,3095
2023-05-15,4027
2023-05-16,1973
2023-05-17,2875
2023-05-18,2588
2023-05-19,2003
2023-05-20,2669
2023-05-21,3610
2023-05-22,2398
2023-05-23,3543
2023-05-24,4098
2023-05-25,4335
2023-05-26,1713
2023-05-27,4806
2023-05-28,1382
2023-05-29,3722
2023-05-30,3462
2023-05-31,3981
2023-06-01,2172
2023-06-02,2843
2023-06-03,4739
2023-06-04,4816
2023-06-05,1837
2023-06-06,3703
2023-06-07,4855
2023-06-08,2409
2023-06-09,3185
2023-06-10,1659
2023-06-11,3202
2023-06-12,1906
2023-06-13,1532
2023-06-14,1360
2023-06-15,1614
2023-06-16,2213
2023-06-17,3135
2023-06-18,2498
2023-06-19,1823
2023-06-20,4694
2023-06-21,1164
2023-06-22,3874
2023-06-23,3915
2023-06-24,4863
2023-06-25,1461
2023-06-26,2748
2023-06-27,2498
2023-06-28,1652
2023-06-29,3406
2023-06-30,4495
2023-07-01,2955
2023-07-02,3763
2023-07-03,2248
2023-07-04,4300
2023-07-05,3703
2023-07-06,2286
2023-07-07,1861
2023-07-08,1987
2023-07-09,2503
2023-07-10,3436
2023-07-11,4873
2023-07-12,4904
2023-07-13,1163
2023-07-14,2749
2023-07-15,1701
2023-07-16,4523
2023-07-17,1939
2023-07-18,2971
2023-07-19,3083
2023-07-20,3884
2023-07-21,2974
2023-07-22,2634
2023-07-23,3729
2023-07-24,3959
2023-07-25,4544
2023-07-26,4178
2023-07-27,1488
2023-07-28,1119
2023-07-29,4229
2023-07-30,3802
2023-07-31,3881
2023-08-01,4414
2023-08-02,3079
2023-08-03,4125
2023-08-04,1571
2023-08-05,3689
2023-08-06,3846
2023-08-07,3130
2023-08-08,1411
2023-08-09,1414
2023-08-10,1089
2023-08-11,4041
2023-08-12,1295
2023-08-13,1546
2023-08-14,2006
2023-08-15,2407
2023-08-16,1426
2023-08-17,4793
2023-08-18,4175
2023-08-19,3268
2023-08-20,3945
2023-08-21,3190
2023-08-22,2544
2023-08-23,2098
2023-08-24,2921
2023-08-25,4176
2023-08-26,3458
2023-08-27,4568
2023-08-28,2979
2023-08-29,1768
2023-08-30,3869
2023-08-31,3064
2023-09-01,3444
2023-09-02,4745
2023-09-03,2995
2023-09-04,2305
2023-09-05,2051
2023-09-06,1528
2023-09-07,2681
2023-09-08,1587
2023-09-09,2703
2023-09-10,3873
2023-09-11,3763
2023-09-12,3068
2023-09-13,2221
2023-09-14,1823
2023-09-15,1550
2023-09-16,1771
2023-09-17,1877
2023-09-18,2364
2023-09-19,1656
2023-09-20,1851
2023-09-21,2102
2023-09-22,1768
2023-09-23,2759
2023-09-24,1801
2023-09-25,4446
2023-09-26,3890
2023-09-27,3536
2023-09-28,1976
2023-09-29,3029
2023-09-30,1898
2023-10-01,4703
2023-10-02,2640
2023-10-03,2023
2023-10-04,3319
2023-10-05,4315
2023-10-06,1325
2023-10-07,3208
2023-10-08,2460
2023-10-09,2457
2023-10-10,1819
2023-10-11,2586
2023-10-12,1367
2023-10-13,3013
2023-10-14,3672
2023-10-15,2820
2023-10-16,1408
2023-10-17,4913
2023-10-18,4127
2023-10-19,1635
2023-10-20,2723
2023-10-21,3566
2023-10-22,3900
2023-10-23,3395
2023-10-24,1065
2023-10-25,3185
2023-10-26,1906
2023-10-27,2623
2023-10-28,3499
2023-10-29,3189
2023-10-30,2086
2023-10-31,3532
2023-11-01,1533
2023-11-02,4569
2023-11-03,1853
2023-11-04,3214
2023-11-05,2862
2023-11-06,3403
2023-11-07,1693
2023-11-08,1767
2023-11-09,1397
2023-11-10,1950
2023-11-11,1607
2023-11-12,3159
2023-11-13,1367
2023-11-14,4890
2023-11-15,3113
2023-11-16,1509
2023-11-17,1098
2023-11-18,1799
2023-11-19,1212
2023-11-20,2722
2023-11-21,3155
2023-11-22,1746
2023-11-23,2992
2023-11-24,4910
2023-11-25,3509
2023-11-26,4855
2023-11-27,1058
2023-11-28,4049
2023-11-29,1938
2023-11-30,2653
2023-12-01,1006
2023-12-02,1650
2023-12-03,2380
2023-12-04,4035
2023-12-05,3121
2023-12-06,3769
2023-12-07,3246
2023-12-08,1680
2023-12-09,3406
2023-12-10,2506
2023-12-11,2808
2023-12-12,3649
2023-12-13,2690
2023-12-14,4058
2023-12-15,1212
2023-12-16,1369
2023-12-17,2169
2023-12-18,3610
2023-12-19,2891
2023-12-20,2618
2023-12-21,2552
2023-12-22,4221
2023-12-23,4323
2023-12-24,3924
2023-12-25,3402
2023-12-26,4370
2023-12-27,4037
2023-12-28,4780
2023-12-29,2895
2023-12-30,3131
2023-12-31,2323
