Date,Sales
2023-01-01,4012
2023-01-02,1419
2023-01-03,4421
2023-01-04,1538
2023-01-05,3245
2023-01-06,1708
2023-01-07,3772
2023-01-08,3180
2023-01-09,2398
2023-01-10,2230
2023-01-11,2024
2023-01-12,2117
2023-01-13,4378
2023-01-14,1992
2023-01-15,4769
2023-01-16,4495
2023-01-17,2800
2023-01-18,4004
2023-01-19,2825
2023-01-20,1488
2023-01-21,1165
2023-01-22,2938
2023-01-23,2073
2023-01-24,1950
2023-01-25,2562
2023-01-26,4198
2023-01-27,4788
2023-01-28,1411
2023-01-29,1649
2023-01-30,3145
2023-01-31,1795
2023-02-01,1032
2023-02-02,4940
2023-02-03,1282
2023-02-04,3766
2023-02-05,4391
2023-02-06,2214
2023-02-07,1818
2023-02-08,3269
2023-02-09,4366
2023-02-10,4757
2023-02-11,4236
2023-02-12,4770
2023-02-13,4172
2023-02-14,3409
2023-02-15,4841
2023-02-16,3233
2023-02-17,4589
2023-02-18,2108
2023-02-19,2189
2023-02-20,3463
2023-02-21,1236
2023-02-22,4496
2023-02-23,3914
2023-02-24,2596
2023-02-25,2488
2023-02-26,4365
2023-02-27,2666
2023-02-28,3478
2023-03-01,4428
2023-03-02,4124
2023-03-03,3128
2023-03-04,1444
2023-03-05,1893
2023-03-06,4279
2023-03-07,1252
2023-03-08,4006
2023-03-09,2052
2023-03-10,1433
2023-03-11,2192
2023-03-12,4761
2023-03-13,3335
2023-03-14,4355
2023-03-15,3583
2023-03-16,4038
2023-03-17,3557
2023-03-18,2009
2023-03-19,3405
2023-03-20,2952
2023-03-21,2812
2023-03-22,1128
2023-03-23,4077
2023-03-24,2945
2023-03-25,2179
2023-03-26,4257
2023-03-27,3137
2023-03-28,2955
2023-03-29,3225
2023-03-30,3831
2023-03-31,3823
2023-04-01,2149
2023-04-02,2656
2023-04-03,3776
2023-04-04,4324
2023-04-05,3844
2023-04-06,2007
2023-04-07,2547
2023-04-08,4708
2023-04-09,2448
2023-04-10,3304
2023-04-11,1547
2023-04-12,4782
2023-04-13,2165
2023-04-14,3684
2023-04-15,4946
2023-04-16,4077
2023-04-17,3984
2023-04-18,4509
2023-04-19,4457
2023-04-20,1540
2023-04-21,4283
2023-04-22,3638
2023-04-23,1732
2023-04-24,1410
2023-04-25,2698
2023-04-26,3308
2023-04-27,3981
2023-04-28,2971
2023-04-29,1494
2023-04-30,4508
2023-05-01,4307
2023-05-02,4164
2023-05-03,3146
2023-05-04,4265
2023-05-05,2012
2023-05-06,1445
2023-05-07,3931
2023-05-08,4288
2023-05-09,4503
2023-05-10,3873
2023-05-11,1486
2023-05-12,2542
2023-05-13,3356
2023-05-14,3272
2023-05-15,2224
2023-05-16,1539
2023-05-17,4627
2023-05-18,4053
2023-05-19,1187
2023-05-20,2926
2023-05-21,3943
2023-05-22,3911
2023-05-23,1628
2023-05-24,4171
2023-05-25,1838
2023-05-26,3785
2023-05-27,4778
2023-05-28,1628
2023-05-29,2123
2023-05-30,1047
2023-05-31,3515
2023-06-01,4469
2023-06-02,4168
2023-06-03,2696
2023-06-04,1628
2023-06-05,4991
2023-06-06,4818
2023-06-07,3892
2023-06-08,2009
2023-06-09,4077
2023-06-10,1569
2023-06-11,2748
2023-06-12,4961
2023-06-13,2892
2023-06-14,3325
2023-06-15,1782
2023-06-16,3645
2023-06-17,1065
2023-06-18,3154
2023-06-19,4468
2023-06-20,4984
2023-06-21,2347
2023-06-22,1152
2023-06-23,1305
2023-06-24,1307
2023-06-25,4050
2023-06-26,2456
2023-06-27,3746
2023-06-28,2455
2023-06-29,2404
2023-06-30,4710
2023-07-01,1690
2023-07-02,3736
2023-07-03,2952
2023-07-04,2526
2023-07-05,3446
2023-07-06,3892
2023-07-07,2648
2023-07-08,2439
2023-07-09,3485
2023-07-10,2652
2023-07-11,2137
2023-07-12,3053
2023-07-13,4362
2023-07-14,4173
2023-07-15,4941
2023-07-16,2654
2023-07-17,4531
2023-07-18,4020
2023-07-19,2617
2023-07-20,4390
2023-07-21,4579
2023-07-22,1474
2023-07-23,2755
2023-07-24,3187
2023-07-25,2821
2023-07-26,1436
2023-07-27,3970
2023-07-28,1418
2023-07-29,3491
2023-07-30,3979
2023-07-31,1922
2023-08-01,1994
2023-08-02,4694
2023-08-03,2406
2023-08-04,2416
